amazon_identifier,product_name,product_price,review_date,review_title,number_of_stars,verified_purchase,review_body,number_found_helpful
B00UN02IEI,"Pain 100% Hot Sauce, 7.5  Ounce",11.5,2018-01-28T00:00:00Z,Pain 100% does bring the heat. It is a ...,5,1,Pain 100% does bring the heat. It is a tangy sauce to me goes very well with chicken and pizza! I will definitely be buying again when I run out!,0
B00UN02IEI,"Pain 100% Hot Sauce, 7.5  Ounce",11.5,2018-01-28T00:00:00Z,flavor-wise this one isn't the greatest but because we want to partake in the first ...,3,1,flavor-wise this one isn't the greatest but because we want to partake in the first we feast interviews I can be seen on YouTube we went ahead and made this purchase,0
B00UN02IEI,"Pain 100% Hot Sauce, 7.5  Ounce",11.5,2018-02-05T00:00:00Z,Good!!,4,1,"Pretty good sauce, way too spicy for my taste buds but good quality overall",0
B00UN02IEI,"Pain 100% Hot Sauce, 7.5  Ounce",11.5,2018-02-05T00:00:00Z,Worst hot sauce I've ever tried,1,0,Originally purchased from Bucky's. Worst hot sauce I've ever tried. Tastes like salt and chemicals. Not even worth using as a cooking ingredient.,0
B00UN02IEI,"Pain 100% Hot Sauce, 7.5  Ounce",11.5,2018-02-27T00:00:00Z,but I love it! I add a few drops to a ...,5,1,"It is extremely hot, but I love it! I add a few drops to a milder hot sauce, and it lasts an extremely long time. It is not for the feint of heart!  Glad I found it on-line. I like having some in my cupboard, so I bought two large bottles.",0
B00UN02IEI,"Pain 100% Hot Sauce, 7.5  Ounce",11.5,2018-03-01T00:00:00Z,This is exceptional. It is what it says. ...,5,1,"This is exceptional.  It is what it says.  Use as a seasoning, not a sauce.  Will continue to buy.",0
B00UN02IEI,"Pain 100% Hot Sauce, 7.5  Ounce",11.5,2018-03-07T00:00:00Z,great flavour too,4,1,"Really spicy!, just what i was expecting, great flavour  too. recommended,",0
B00UN02IEI,"Pain 100% Hot Sauce, 7.5  Ounce",11.5,2018-03-14T00:00:00Z,Powerful and salty,4,1,Very hot but too much sodium and not enough nuance in the flavors. Seems more for cooking than pouring over,0
B00UN02IEI,"Pain 100% Hot Sauce, 7.5  Ounce",11.5,2018-03-14T00:00:00Z,but it tastes like ass.,3,1,"It's very hot, but it tastes like ass.",0
B00UN02IEI,"Pain 100% Hot Sauce, 7.5  Ounce",11.5,2018-03-15T00:00:00Z,"I'm not saying it's a bad sauce, it has a little heat",4,1,"I was expecting a hot sauce and I received a hot wing sauce. I'm not saying it's a bad sauce, it has a little heat, and it tastes, well, just like some hot wings. It's a thick consistency, not easily poured. In my opinion it's a good wing sauce but nothing more.",0
B076CTKS11,"iPhone 8 Plus Wallet Case, Durable and Slim, Lightweight with Classic...",18.99,2016-11-11T00:00:00Z,Very nice product! The customer service is excellent,4,0,"Very nice product! The customer service is excellent, I recommend this I phone case. Quialty product..",19
B06XGYQWZN,Sony Xperia L1 - Unlocked Smartphone - 16GB - Black (US Warranty),153.99,2017-09-05T00:00:00Z,Solid value priced choice,4,0,"Call connection is clear, but the sound quality isnâ€™t the best. The speaker is at the bottom of the phone and sounds fuzzy/muffled even on high volume. Headphones or a Bluetooth speaker are highly recommended for music. HD video playback can be laggy, especially without a good WiFi connection. The battery is terrible and needs to be charged daily if the phone is being used regularly. Conveniently, the L1 comes with a battery saver and data saver option that really help with the bad battery life. The slide the SIM card fits into is quite difficult to pull out. The manual says use your fingernails to pry the slide out, but I could not do this without tweezers. Aesthetically, the L1 is pretty. Rectangular, but with rounded edges, similar to the old Nokia Lumia phones. Itâ€™s also lightweight but the materials are on the cheap side, and the screen most definitely cracks if dropped in a parking lot.  Overall, this is an excellent value-priced smart phone with decent visual appeal.",2
B06XGYQWZN,Sony Xperia L1 - Unlocked Smartphone - 16GB - Black (US Warranty),153.99,2017-09-16T00:00:00Z,Get the next tier up.,3,1,Cool phone just 2 things I'm not happy with 1. It's kinda slow lags a lot. 2. 16 gigs is not enough since just about every app needs to on the phone and can't be moved to sd card. I would buy a sony phone again just maybe the next tier up.,5
B06XGYQWZN,Sony Xperia L1 - Unlocked Smartphone - 16GB - Black (US Warranty),153.99,2017-09-21T00:00:00Z,Five Stars,5,1,Loved this phone.unfortunately it did not work with total wireless.had to send it back,0
B06XGYQWZN,Sony Xperia L1 - Unlocked Smartphone - 16GB - Black (US Warranty),153.99,2017-09-21T00:00:00Z,The phone is a nice phone and my husband really enjoys it,3,1,"The phone is a nice phone  and my husband really enjoys it. But, as his wife who talks to him on the phone it is very difficult to hear the call. We aren't sure if there is a way to correct this though.",6
B06XGYQWZN,Sony Xperia L1 - Unlocked Smartphone - 16GB - Black (US Warranty),153.99,2017-09-23T00:00:00Z,everything was good and fine,3,1,"everything was good and fine. The only problem is, it still does not connect to my college wifi. It keeps saying authentication failed. This almost made me return the phone. But I am too late. If anyone has an idea how to fix this pls help. Here's my email: bellosabir@gmail.com",0
B06XGYQWZN,Sony Xperia L1 - Unlocked Smartphone - 16GB - Black (US Warranty),153.99,2017-09-25T00:00:00Z,Very slow and Glitchy Phone.,2,1,I bought it expecting to have a decent phone but this is terrible. To start off this phone is slow after a while. The built in keyboard sometimes just stops working... So your only choice is to restart the phone a couole of times until the keyboard comes back. Every time you will receive a MMS the messaging app will stop working and will keep cashing if you try to opwn the message where you just received the MMS. I have tried to contact Xperia Support and they just BS you. They find excuses on why this is happening. Their employees have no knowledge they are most of the time not useful. I also tried to reboot on factory settings this phone and the issue always come back... I do not recommend this phone. It's a wast of $200. There are other phones at the same price that will make a better job.,0
B06XGYQWZN,Sony Xperia L1 - Unlocked Smartphone - 16GB - Black (US Warranty),153.99,2017-10-07T00:00:00Z,It looks really nice but the sim doesn't fit at all and it ...,1,1,It looks really nice but the sim doesn't fit at all and it has duel sim slots so it's kinda tricky.,0
B06XGYQWZN,Sony Xperia L1 - Unlocked Smartphone - 16GB - Black (US Warranty),153.99,2017-10-24T00:00:00Z,Five Stars,5,1,Totally worth the value I paid!,0
B06XGYQWZN,Sony Xperia L1 - Unlocked Smartphone - 16GB - Black (US Warranty),153.99,2017-10-28T00:00:00Z,Mother-in-law pleased!,5,1,I bought it for my mother-in-law when her other Xperia finally died. She loves it.,0
B06XGYQWZN,Sony Xperia L1 - Unlocked Smartphone - 16GB - Black (US Warranty),153.99,2017-11-01T00:00:00Z,Bought this Sony Xperia L1 for a relative of mine.  He loves the phone.  Nice Phone.,4,1,Bought this Sony Xperia L1 for a relative of mine.  He loves the phone. Nice phone.,0
B06XGYQWZN,Sony Xperia L1 - Unlocked Smartphone - 16GB - Black (US Warranty),153.99,2017-11-11T00:00:00Z,Broke after a week of using,2,1,The screen went blank after one week of using. Nice design phone.,0
B06XGYQWZN,Sony Xperia L1 - Unlocked Smartphone - 16GB - Black (US Warranty),153.99,2017-11-11T00:00:00Z,Ehhh,2,1,There's no place to take notes and there's no voice recorder Didn't get a Sim tray.,0
B06XGYQWZN,Sony Xperia L1 - Unlocked Smartphone - 16GB - Black (US Warranty),153.99,2017-11-14T00:00:00Z,Wouldn't recommend it.,1,1,"Awful phone, even for the price. NFC reader has issues when coming in contact with magnetic laptop lids, which is a first. Google app had issues with my subscriptions and many apps were unsupported for unknown reasons and updates were few and far between. Sony was entirely unhelpful with diagnosing software issues as well as the terrible in-software buttons which were rendered useless in the system crashes.",3
B06XGYQWZN,Sony Xperia L1 - Unlocked Smartphone - 16GB - Black (US Warranty),153.99,2017-11-15T00:00:00Z,Great phone! Highly Recommend!,5,1,I love it! It works great!,0
B06XGYQWZN,Sony Xperia L1 - Unlocked Smartphone - 16GB - Black (US Warranty),153.99,2017-11-21T00:00:00Z,This is considered an entry level smart phone. Keep this in mind when ordering.,5,1,"Phone is amazing. Upgraded from Nokia X6, also GSM unlocked. Huge difference, tons of features, easily navigates web and downloads apps and music. SD card slot to increase memory up to 256GB. Price was awesome at $175.00. Guess the days of a sub $100 smart phone are over...",2
B06XGYQWZN,Sony Xperia L1 - Unlocked Smartphone - 16GB - Black (US Warranty),153.99,2017-11-28T00:00:00Z,great design but I recommend people who want a cheap ...,2,1,"got it for two weeks and it's already ""broken"", Phone Stuck On Boot Screen Loop. you get what you paid, this is a cheap phone, and its cheap made. great design but I recommend people who want a cheap sony phone to get a sony Xperia z3.",0
B06XGYQWZN,Sony Xperia L1 - Unlocked Smartphone - 16GB - Black (US Warranty),153.99,2017-12-07T00:00:00Z,"Not worth the money,",1,1,"Horrible phone, camera and video quality is really bad,  I ordered this phone because I wanted to upgrade from my LG stylo, biggest mistake ever. Everything as in videos from YouTube,  Facebook, instagram looks blurry and pixalated.  Not sure if this phone that I got is defective but I am really disappointed even tho it is a beautiful phone. I'm just trying to give a heads up for future customers.",0
B06XGYQWZN,Sony Xperia L1 - Unlocked Smartphone - 16GB - Black (US Warranty),153.99,2017-12-09T00:00:00Z,Good value with some premium features,4,0,"Pros:Camera is slightly above expectationsNo bloatwareAndroid 7.0 Nougat, With November 2017 Security UpdatePerformance (for price point)Screen sizeConstruction is all plastic, but very durableNFCUSB-C PortCons:No fingerprint sensorFace scanner doesn't work in low-light conditionsWill not receive Android OreoDoes not include quick charger in the boxOverall, I am very happy with the phone, especially at this price point.  I believe this is one of the best value smartphones currently out, assuming you are not a power user. Sony is typically generous with software and security updates, but this phone will not be receiving Android 8.0 Oreo.The display on this phone is 5.5 inches, putting it in the size category of flagship phones. However, the screen resolution is only HD 720p, which is quite a bit below the pixel density of flagship phones. However, Sony is using a very good screen on this phone, with great white balance and viewing angles.I'm using the phone on AT&T, and it has full connectivity over LTE. The lack of a fingerprint sensor is an annoyance, but that is a reasonable sacrifice for such a good value. Facial recognition seems to work fine for me in well-lit areas, but does not work at all in low-light situations.Performance is what you'd expect for this class of phone - there are occasional stutters, but they don't hamper day-to-day use. Battery charges quickly with a quick charger, but the charger included in the box works at a standard, slow speed. The phone seems to hold a charge all day with normal use, which is in part due to the lower resolution screen.  This phone includes support for NFC, which is quite rare at this price point. This allows you to use Android Pay in stores, as well as share files with other NFC-supporting phones.This phone is a great value at this price point, especially if you want USB-C and a large screen, but do not want a flagship. If you are looking for sheer amount of features, there may be better options at this price point. Sony quality, in my experience, is worth a small price premium.",0
B06XGYQWZN,Sony Xperia L1 - Unlocked Smartphone - 16GB - Black (US Warranty),153.99,2017-12-19T00:00:00Z,It's a good phone for the amount,4,1,"It's a good phone for the amount, its really worth it. Bought this for my wife and she is happy. performance is good, its battery backup is good.",3
B06XGYQWZN,Sony Xperia L1 - Unlocked Smartphone - 16GB - Black (US Warranty),153.99,2017-12-19T00:00:00Z,love the phone itself just that i suspect it was ...,1,1,"i suspect this product was not brand new, it had been used before and the reset because the box was open and the phone freezes a lot. these are a few among a few more things i noticed about the phone. love the phone itself just that i suspect it was not brand new",0
B06XGYQWZN,Sony Xperia L1 - Unlocked Smartphone - 16GB - Black (US Warranty),153.99,2017-12-29T00:00:00Z,Terrible battery,1,1,"Battery is terrible, not even even good for 4 hours",2
B06XGYQWZN,Sony Xperia L1 - Unlocked Smartphone - 16GB - Black (US Warranty),153.99,2018-01-03T00:00:00Z,Good value,4,1,If you want a large phone for cheap cost...this is it! Great value for the money. I love how Sony doesn't add bloatware like Samsung and others.,4
B06XGYQWZN,Sony Xperia L1 - Unlocked Smartphone - 16GB - Black (US Warranty),153.99,2018-01-06T00:00:00Z,DON'T EVER TAKE SOMETHING THAT IS A BAD IDEA!,1,1,Horrible!,0
B06XGYQWZN,Sony Xperia L1 - Unlocked Smartphone - 16GB - Black (US Warranty),153.99,2018-01-12T00:00:00Z,Five Stars,5,1,"Excellent phone, very satisfied with this product",0
B06XGYQWZN,Sony Xperia L1 - Unlocked Smartphone - 16GB - Black (US Warranty),153.99,2018-01-14T00:00:00Z,Three Stars,3,0,The apps are full of advertisement and also have difficulty downloading music and setting as ringtone,0
B06XGYQWZN,Sony Xperia L1 - Unlocked Smartphone - 16GB - Black (US Warranty),153.99,2018-02-03T00:00:00Z,I love this phone,5,1,Bought the phone used. What great shape it was in. No complaints. Shipping was fast and reliable. Loving the new phone.,0
B06XGYQWZN,Sony Xperia L1 - Unlocked Smartphone - 16GB - Black (US Warranty),153.99,2018-02-04T00:00:00Z,One Star,1,1,Phone came with no nano holder for sim card. Cant locate part anywhere.,0
B06XGYQWZN,Sony Xperia L1 - Unlocked Smartphone - 16GB - Black (US Warranty),153.99,2018-02-11T00:00:00Z,I am pleased with the phone,4,1,I am pleased with the phone.... Have it for a while now and the only thing I have noticed is that I have made a mistake by not getting one with more on board ram. My previous phone is also a Xperia and I love them.... Nice phone.... I made the mistake,0
B06XGYQWZN,Sony Xperia L1 - Unlocked Smartphone - 16GB - Black (US Warranty),153.99,2018-02-13T00:00:00Z,"Works great, runs smooth but the volume is crappy",4,1,"Works great, runs smooth but the volume is crappy. I did know that when I purchased it because there is supposedly a way to make it louder. Camera seems to be good I haven't had the chance to make actual prints to see",0
B06XGYQWZN,Sony Xperia L1 - Unlocked Smartphone - 16GB - Black (US Warranty),153.99,2018-02-16T00:00:00Z,Four Stars,4,1,Nice phone,0
B01NCISWQT,Vitagene DNA Test Kit:  Ancestry + Health Personal Genetic Reports,49.83,2018-03-22T00:00:00Z,Best DNA kit with add on insights!!,5,1,"I have been wanting to look into my DNA for months now, ever since the fad has hit the market. I thought that I would just want to know my background, but this DNA kit is much more than just finding out your genetics. This DNA kit gave me an insight of everything that I needed to know regarding my genetics and health profiles.I had my first baby over 6 months ago and have been having a hard time losing this baby weight. It has never been an issue for me to lose weight, in fact I have been thin most of my life, so this added weight put a damper on my mood, especially when dieting and exercising was not helping. After utilizing this DNA kit, and finding out more about my body, it has helped me find out what I need to do with my diet plans to help me lose this baby weight. Since changing my dieting rituals to coincide with my genetics, it has helped me lose weight and get back into my pre-baby weight and clothes!This kit was so easy to use. All you have to do is take the swaps, swap each check, and put the swabs into the vials given. Plus, it comes with a pre-paid box to send back to the lab.Overall, this DNA kit has given me much more insights about my genetics than I thought it could. It is well worth the price tag, when you look into the lifelong information it gives you about your genetics.",0
